county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Siskiyou,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
Marin,2020-03-29,7.0,13.0,,,2.0,6.0,11.0
Tehama,2020-03-29,0.0,0.0,,,0.0,0.0,2.0
San Mateo,2020-03-29,46.0,27.0,,,16.0,10.0,28.0
Shasta,2020-03-29,0.0,0.0,,,0.0,0.0,
San Luis Obispo,2020-03-29,7.0,12.0,,,3.0,4.0,948.0
Stanislaus,2020-03-29,20.0,48.0,,,9.0,8.0,25.0
Mendocino,2020-03-29,1.0,11.0,,,0.0,0.0,1.0
Los Angeles,2020-03-29,489.0,1132.0,,,191.0,182.0,345.0
San Francisco,2020-03-29,50.0,73.0,,,24.0,10.0,61.0
Contra Costa,2020-03-29,23.0,62.0,,,8.0,15.0,62.0
Orange,2020-03-29,74.0,167.0,,,31.0,40.0,131.0
Alameda,2020-03-29,36.0,91.0,,,20.0,16.0,119.0
San Benito,2020-03-29,1.0,1.0,,,1.0,0.0,1.0
Glenn,2020-03-29,,,,,,,
Lake,2020-03-29,0.0,1.0,,,0.0,1.0,2.0
Sutter,2020-03-29,0.0,0.0,,,0.0,0.0,
Madera,2020-03-29,1.0,6.0,,,1.0,1.0,8.0
Modoc,2020-03-29,0.0,0.0,,,0.0,0.0,
Amador,2020-03-29,1.0,0.0,,,0.0,0.0,2.0
Plumas,2020-03-29,0.0,1.0,,,0.0,1.0,
Colusa,2020-03-29,,,,,,,
Napa,2020-03-29,0.0,26.0,,,,,5.0
Kings,2020-03-29,2.0,5.0,,,1.0,0.0,2.0
Ventura,2020-03-29,24.0,85.0,,,5.0,19.0,14.0
Yuba,2020-03-29,2.0,12.0,,,2.0,4.0,2.0
Imperial,2020-03-29,5.0,100.0,,,1.0,2.0,2.0
Humboldt,2020-03-29,1.0,10.0,,,0.0,0.0,18.0
Sacramento,2020-03-29,36.0,27.0,,,12.0,18.0,50.0
Nevada,2020-03-29,23.0,,,,1.0,0.0,3.0
Inyo,2020-03-29,,,,,,,
Calaveras,2020-03-29,,,,,,,
Sonoma,2020-03-29,7.0,20.0,,,2.0,5.0,12.0
Tulare,2020-03-29,6.0,13.0,,,5.0,3.0,7.0
San Joaquin,2020-03-29,34.0,35.0,,,5.0,2.0,7.0
Santa Clara,2020-03-29,141.0,72.0,,,65.0,15.0,70.0
Placer,2020-03-29,18.0,14.0,,,4.0,1.0,10.0
El Dorado,2020-03-29,0.0,6.0,,,0.0,3.0,3.0
Kern,2020-03-29,16.0,57.0,,,8.0,8.0,39.0
Tuolumne,2020-03-29,1.0,5.0,,,0.0,0.0,0.0
Mono,2020-03-29,0.0,1.0,,,0.0,0.0,2.0
Del Norte,2020-03-29,1.0,2.0,,,0.0,0.0,3.0
Riverside,2020-03-29,44.0,78.0,,,13.0,20.0,46.0
Lassen,2020-03-29,0.0,2.0,,,0.0,0.0,
San Bernardino,2020-03-29,33.0,123.0,,,19.0,20.0,65.0
Merced,2020-03-29,1.0,7.0,,,0.0,0.0,3.0
