College Name,State,Public (1)/ Private (2),# appli. rec'd,# appl. accepted,# new stud. enrolled,% new stud. from top 10%,% new stud. from top 25%,# FT undergrad,# PT undergrad,in-state tuition,out-of-state tuition,room,board,add. fees,estim. book costs,estim. personal $,% fac. w/PHD,stud./fac. ratio,Graduation rate
Alaska Pacific University,AK,2,193,146,55,16,44,249,869,7560,7560,1620,2500,130,800,1500,76,11.9,15
University of Alaska at Fairbanks,AK,1,1852,1427,928,,,3885,4519,1742,5226,1800,1790,155,650,2304,67,10,
University of Alaska Southeast,AK,1,146,117,89,4,24,492,1849,1742,5226,2514,2250,34,500,1162,39,9.5,39
University of Alaska at Anchorage,AK,1,2065,1598,1162,,,6209,10537,1742,5226,2600,2520,114,580,1260,48,13.7,
Alabama Agri. & Mech. Univ.,AL,1,2817,1920,984,,,3958,305,1700,3400,1108,1442,155,500,850,53,14.3,40
Faulkner University,AL,2,345,320,179,,27,1367,578,5600,5600,1550,1700,300,350,,52,32.8,55
University of Montevallo,AL,1,1351,892,570,18,78,2385,331,2220,4440,,,124,300,600,72,18.9,51
Alabama State University,AL,1,4639,3272,1278,,,4051,405,1500,3000,1960,,84,500,,48,18.7,15
Auburn University-Main Campus,AL,1,7548,6791,3070,25,57,16262,1716,2100,6300,,,,600,1908,85,16.7,69
Birmingham-Southern College,AL,2,805,588,287,67,88,1376,207,11660,11660,2050,2430,120,400,900,74,14,72
University of North Alabama,AL,1,1087,702,625,,40,3772,1034,1704,2970,1336,1200,20,500,,62,19.4,76
Huntingdon College,AL,2,608,520,127,26,47,538,126,8080,8080,1380,2540,100,500,1100,63,11.4,44
Jacksonville State University,AL,1,1627,1413,887,,,5160,1475,1740,2610,1030,1570,85,570,1500,66,20.1,33
Judson College,AL,2,313,228,137,10,30,552,67,5780,5780,,,,,,70,17.9,43
Livingston University,AL,1,1206,957,444,,,1627,132,1740,1740,1162,1287,243,570,2100,58,18.8,36
Miles College,AL,2,686,427,242,,,746,123,4000,4000,1250,1450,,600,1000,35,16.7,15
University of Mobile,AL,2,452,331,269,17,54,1417,301,6150,6150,,,70,550,1200,59,16.6,52
Oakwood College,AL,2,949,605,385,,,1316,135,6639,6639,,,368,600,2500,52,14.5,
Samford University,AL,2,1680,1395,691,34,76,2959,402,8236,8236,3700,,,569,1650,74,14.7,61
Spring Hill College,AL,2,773,694,230,,,942,224,11478,11478,2450,2338,645,500,900,80,14.4,70
Stillman College,AL,2,629,614,248,,,866,22,4460,4460,1683,1071,100,600,1000,47,14.3,47
Talladega College,AL,2,4414,1500,335,30,60,908,119,5666,5666,1424,1540,418,1000,1400,56,15.5,46
Troy State University at Troy,AL,1,1471,1281,824,18,67,4343,990,1697,2883,1450,1120,75,300,,50,23,48
Tuskegee University,AL,2,2267,1827,611,20,59,2825,144,6735,6735,3395,,,600,1425,70,12.2,65
University of Alabama at Tuscaloosa,AL,1,7593,5972,2682,,57,13780,1599,2172,5424,1600,1930,,580,1654,80,17.3,50
