Call  Failure,Complains,Subscription  Length,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Status,Churn
8,0,38,4370,71,5,17,1,0
0,0,39,318,5,7,4,0,0
10,0,37,2453,60,359,24,1,0
10,0,38,4198,66,1,35,1,0
3,0,38,2393,58,2,33,1,0
11,0,38,3775,82,32,28,1,0
4,0,38,2360,39,285,18,1,0
13,0,37,9115,121,144,43,1,0
7,0,38,13773,169,0,44,1,0
7,0,38,4515,83,2,25,1,0
6,0,38,5918,95,7,12,1,0
9,0,38,2238,54,8,17,0,0
25,0,38,15140,225,54,32,1,0
4,0,38,3095,27,483,8,1,0
9,0,37,15485,182,150,30,1,0
3,0,37,6500,86,186,26,1,0
0,0,37,875,14,0,11,0,1
2,0,38,710,14,13,8,0,0
0,0,37,0,0,0,0,0,1
3,0,37,7508,127,384,43,1,0
7,0,37,11465,154,11,47,1,0
8,0,37,6718,75,108,37,1,0
23,1,33,955,47,16,17,0,1
21,1,36,10435,93,1,42,1,0
13,1,36,5818,98,26,24,1,1
1,0,34,2840,22,0,14,1,0
9,0,35,2990,41,9,16,0,1
9,1,36,2268,44,34,31,0,1
0,0,36,133,2,0,2,0,1
1,0,36,1668,25,0,6,1,0
3,0,33,6785,97,14,22,1,0
0,1,36,628,7,9,4,0,1
0,0,36,338,4,4,2,1,0
25,0,31,16075,238,0,80,1,0
6,0,34,6965,116,271,33,1,0
2,0,36,3718,82,2,28,1,0
3,0,35,1665,44,38,20,0,0
6,0,36,2780,53,175,23,1,0
4,0,27,1315,36,193,11,1,0
4,0,26,1568,39,30,68,1,0
11,0,27,700,25,10,7,0,0
0,0,26,825,10,21,3,0,1
10,0,25,1225,32,19,13,1,0
2,0,25,3225,61,8,23,1,0
2,0,18,1695,26,28,14,1,0
16,0,17,6393,141,85,42,1,0
12,0,15,8933,171,73,40,1,0
8,0,16,2853,45,31,19,1,0
2,0,9,4390,40,215,10,1,0
3,0,9,1488,19,0,7,1,1
11,0,40,4430,74,10,19,1,0
3,0,41,378,8,12,6,1,0
13,0,39,2513,63,364,26,1,0
13,0,40,4258,69,6,37,1,0
6,0,40,2453,61,7,35,1,0
14,0,40,3835,85,37,30,1,0
7,0,40,2420,42,290,20,1,0
16,0,39,9175,124,149,45,1,0
10,0,40,13833,172,5,46,1,0
10,0,40,4575,86,7,27,1,0
9,0,40,5978,98,12,14,1,0
12,0,40,2298,57,13,19,1,0
28,0,40,15200,228,59,34,1,0
7,0,40,3155,30,488,10,1,0
12,0,39,15545,185,155,32,1,0
6,0,39,6560,89,191,28,1,0
3,0,39,935,17,5,13,1,0
5,0,40,770,17,18,10,1,0
3,1,39,60,3,5,2,1,1
6,0,39,7568,130,389,45,1,0
10,0,39,11525,157,16,49,1,0
11,0,39,6778,78,113,39,1,0
26,1,35,1015,50,21,19,1,1
24,1,38,10495,96,6,44,1,0
16,0,38,5878,101,31,26,1,0
4,0,36,2900,25,5,16,1,0
12,0,37,3050,44,14,18,1,1
12,1,38,2328,47,39,33,1,1
3,0,38,193,5,5,4,1,1
4,0,38,1728,28,5,8,1,0
6,0,35,6845,100,19,24,1,0
3,0,38,688,10,14,6,1,1
3,0,38,398,7,9,4,1,0
28,0,33,16135,241,5,82,1,0
9,1,36,7025,119,276,35,1,0
5,0,38,3778,85,7,30,1,0
6,0,37,1725,47,43,22,1,0
9,0,38,2840,56,180,25,1,0
7,0,29,1375,39,198,13,1,0
7,0,28,1628,42,35,70,1,0
14,0,29,760,28,15,9,1,0
3,0,28,885,13,26,5,1,0
13,0,27,1285,35,24,15,1,0
5,0,27,3285,64,13,25,1,0
5,0,20,1755,29,33,16,1,0
19,0,19,6453,144,90,44,1,0
15,0,17,8993,174,78,42,1,0
11,0,18,2913,48,36,21,1,0
5,0,11,4450,43,220,12,1,0
6,1,11,1548,22,5,9,1,1
5,0,36,4310,68,0,15,1,0
0,0,37,258,2,2,2,0,0
7,0,35,2393,57,354,22,1,0
7,0,36,4138,63,0,33,1,0
0,0,36,2333,55,0,31,1,0
8,0,36,3715,79,27,26,1,0
1,0,36,2300,36,280,16,1,0
10,0,35,9055,118,139,41,1,0
4,0,36,13713,166,0,42,1,0
4,0,36,4455,80,0,23,1,0
3,0,36,5858,92,2,10,1,0
6,1,36,2178,51,3,15,0,0
22,0,36,15080,222,49,30,1,0
1,0,36,3035,24,478,6,1,0
6,0,35,15425,179,145,28,1,0
0,0,35,6440,83,181,24,1,0
0,0,35,815,11,0,9,0,0
0,0,36,650,11,8,6,0,0
0,0,35,0,0,0,0,0,1
0,0,35,7448,124,379,41,1,0
4,0,35,11405,151,6,45,1,0
5,0,35,6658,72,103,35,1,0
20,0,31,895,44,11,15,0,1
18,0,34,10375,90,0,40,1,0
10,0,34,5758,95,21,22,1,1
0,0,32,2780,19,0,12,1,0
6,0,33,2930,38,4,14,0,1
6,1,34,2208,41,29,29,0,1
0,1,34,0,0,0,0,0,1
0,0,34,1608,22,0,4,1,0
0,0,31,6725,94,9,20,1,0
0,0,34,568,4,4,2,0,1
0,0,34,0,0,0,0,1,0
22,0,29,16015,235,0,78,1,0
3,0,32,6905,113,266,31,1,0
0,0,34,3658,79,0,26,1,0
0,0,33,1605,41,33,18,0,0
3,0,34,2720,50,170,21,1,0
1,0,25,1255,33,188,9,1,0
1,0,24,1508,36,25,66,1,0
8,0,25,640,22,5,5,0,0
0,1,24,765,7,16,1,0,1
7,0,23,1165,29,14,11,1,0
0,0,23,3165,58,3,21,1,0
0,0,16,1635,23,23,12,1,0
13,0,15,6333,138,80,40,1,0
9,0,13,8873,168,68,38,1,0
5,0,14,2793,42,26,17,1,0
0,0,7,4330,37,210,8,1,0
0,0,7,1428,16,0,5,1,1
9,0,42,4450,73,15,21,1,0
1,1,43,398,7,17,8,0,1
11,0,41,2533,62,369,28,1,0
11,0,42,4278,68,11,39,1,0
4,0,42,2473,60,12,37,1,0
12,0,42,3855,84,42,32,1,0
5,0,42,2440,41,295,22,1,0
14,0,41,9195,123,154,47,1,0
8,0,42,13853,171,10,48,1,0
8,0,42,4595,85,12,29,1,0
7,0,42,5998,97,17,16,1,0
10,0,42,2318,56,18,21,0,0
26,0,42,15220,227,64,36,1,0
5,0,42,3175,29,493,12,1,0
10,0,41,15565,184,160,34,1,0
4,0,41,6580,88,196,30,1,0
1,0,41,955,16,10,15,0,0
3,0,42,790,16,23,12,0,0
1,0,41,80,2,10,4,0,1
4,0,41,7588,129,394,47,1,0
8,0,41,11545,156,21,51,1,0
9,0,41,6798,77,118,41,1,0
24,1,37,1035,49,26,21,0,1
22,1,40,10515,95,11,46,1,0
14,0,40,5898,100,36,28,1,1
2,0,38,2920,24,10,18,1,0
10,0,39,3070,43,19,20,0,1
10,1,40,2348,46,44,35,0,1
1,0,40,213,4,10,6,0,1
2,0,40,1748,27,10,10,1,0
4,0,37,6865,99,24,26,1,0
1,1,40,708,9,19,8,0,1
1,0,40,418,6,14,6,1,0
26,0,35,16155,240,10,84,1,0
7,1,38,7045,118,281,37,1,0
3,0,40,3798,84,12,32,1,0
4,0,39,1745,46,48,24,0,0
7,0,40,2860,55,185,27,1,0
5,0,31,1395,38,203,15,1,0
5,0,30,1648,41,40,72,1,0
12,0,31,780,27,20,11,0,0
1,0,30,905,12,31,7,0,0
11,0,29,1305,34,29,17,1,0
3,0,29,3305,63,18,27,1,0
3,0,22,1775,28,38,18,1,0
17,0,21,6473,143,95,46,1,0
13,0,19,9013,173,83,44,1,0
9,0,20,2933,47,41,23,1,0
3,0,13,4470,42,225,14,1,0
4,0,13,1568,21,10,11,1,1
7,0,34,4290,69,0,13,1,0
0,0,35,0,0,0,0,0,0
9,0,33,2373,58,349,20,1,0
9,0,34,4118,64,0,31,1,0
2,0,34,2313,56,0,29,1,0
10,0,34,3695,80,22,24,1,0
3,0,34,2280,37,275,14,1,0
12,0,33,9035,119,134,39,1,0
6,0,34,13693,167,0,40,1,0
6,0,34,4435,81,0,21,1,0
5,0,34,5838,93,0,8,1,0
8,0,34,2158,52,0,13,0,0
24,0,34,15060,223,44,28,1,0
3,0,34,3015,25,473,4,1,0
8,0,33,15405,180,140,26,1,0
2,0,33,6420,84,176,22,1,0
0,0,33,795,12,0,7,0,0
1,0,34,630,12,3,4,0,0
0,0,33,0,0,0,0,0,1
2,0,33,7428,125,374,39,1,0
6,0,33,11385,152,1,43,1,0
7,0,33,6638,73,98,33,1,0
22,0,29,875,45,6,13,0,1
20,0,32,10355,91,0,38,1,0
12,1,32,5738,96,16,20,1,1
0,0,30,2760,20,0,10,1,0
8,1,31,2910,39,0,12,0,1
8,0,32,2188,42,24,27,0,1
0,1,32,0,0,0,0,0,1
0,0,32,1588,23,0,2,1,0
2,0,29,6705,95,4,18,1,0
0,0,32,0,0,0,0,0,1
0,0,32,0,0,0,0,1,0
24,0,27,15995,236,0,76,1,0
5,0,30,6885,114,261,29,1,0
1,0,32,3638,80,0,24,1,0
2,0,31,1585,42,28,16,0,0
5,0,32,2700,51,165,19,1,0
3,0,23,1235,34,183,7,1,0
3,0,22,1488,37,20,64,1,0
10,0,23,620,23,0,3,0,0
0,0,22,0,0,11,0,0,0
9,0,21,1145,30,9,9,1,0
1,0,21,3145,59,0,19,1,0
1,0,14,1615,24,18,10,1,0
15,0,13,6313,139,75,38,1,0
11,0,11,8853,169,63,36,1,0
7,0,12,2773,43,21,15,1,0
1,0,5,4310,38,205,6,1,0
2,0,5,1408,17,0,3,1,1
13,0,44,4630,81,20,23,1,0
5,0,45,578,15,22,10,0,0
15,0,43,2713,70,374,30,1,0
15,0,44,4458,76,16,41,1,0
8,0,44,2653,68,17,39,1,0
16,0,44,4035,92,47,34,1,0
9,0,44,2620,49,300,24,1,0
18,0,43,9375,131,159,49,1,0
12,0,44,14033,179,15,50,1,0
12,0,44,4775,93,17,31,1,0
11,0,44,6178,105,22,18,1,0
14,1,44,2498,64,23,23,0,0
30,0,44,15400,235,69,38,1,0
9,0,44,3355,37,498,14,1,0
14,0,43,15745,192,165,36,1,0
